"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Rob Kurz","SF",81,232,0,23,40,5,"442",131,38,78,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Monta Ellis","SG",75,175,3,23,25,25,"892",430,26,67,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Marco Belinelli","SG",77,192,1,22,42,23,"882",317,131,73,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Corey Maggette","PF",78,218,9,29,51,19,"1588",634,95,192,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Andris Biedrins","C",83,240,4,22,62,58,"1863",533,1,236,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Stephen Jackson","SF",80,218,8,30,59,59,"2339",997,305,153,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Ronny Turiaf","C",82,249,3,26,79,26,"1696",366,3,243,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Anthony Morrow","SG",77,210,0,23,67,17,"1515",534,184,130,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Anthony Randolph","PF",82,205,0,19,63,22,"1129",431,4,141,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"C.J. Watson","PG",74,180,1,24,77,18,"1883",562,120,137,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Marcus Williams","PG",75,205,2,23,9,0,"54",17,6,6,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Kelenna Azubuike","SF",77,220,2,25,74,51,"2375",845,210,183,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Al Harrington","PF",81,230,10,28,5,5,"166",70,28,14,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
"Jamal Crawford","PG",77,200,8,28,54,54,"2087",853,317,79,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"109.5","113.3"
