"Name","Position","Height","Weight","Exp","Age","G","GS","MP","3PA","FGA","PF","PER","USG%","OWS","DWS","PG","PGS","PMP","P3PA","PFGA","PPF","PPER","PUSG%","POWS","PDWS","TORtg","TDRtg"
"Austin Croshere","PF",81,235,7,29,73,22,"1827",497,174,154,0,0,0,0,29,10,0,"88",10,4,10,0,0,0,0,"105.5","104.6"
"Metta World Peace","SF",78,244,5,25,7,7,"291",119,17,27,0,0,0,0,"105.5","104.6"
"Jermaine O'Neal","PF",83,226,8,26,44,41,"1530",854,6,173,0,0,0,0,26,13,13,"476",211,3,48,0,0,0,0,"105.5","104.6"
"Jamaal Tinsley","PG",75,195,3,26,40,40,"1301",522,156,112,0,0,0,0,26,9,9,"247",89,18,31,0,0,0,0,"105.5","104.6"
"Scot Pollard","C",83,265,7,29,49,17,"865",167,0,123,0,0,0,0,29,9,0,"67",15,0,9,0,0,0,0,"105.5","104.6"
"David Harrison","C",84,280,0,22,43,14,"760",184,0,134,0,0,0,0,"105.5","104.6"
"Dale Davis","C",83,230,13,35,25,25,"730",125,0,83,0,0,0,0,35,13,13,"311",58,0,35,0,0,0,0,"105.5","104.6"
"Fred Jones","SG",76,210,2,25,77,14,"2268",647,229,171,0,0,0,0,25,13,0,"234",54,23,13,0,0,0,0,"105.5","104.6"
"Ira Newble","SG",79,220,4,30,74,69,"1832",424,53,144,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Eric Snow","SG",75,190,9,31,81,15,"1844",327,45,189,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Jiri Welsch","SF",79,208,2,25,16,0,"192",51,11,16,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Sasha Pavlovic","SG",80,220,1,21,65,9,"862",276,78,121,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Lucious Harris","SG",77,190,11,34,73,4,"1128",299,65,68,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Jeff McInnis","PG",76,190,7,30,76,69,"2651",915,264,177,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Scott Williams","C",82,230,14,36,19,0,"152",41,1,30,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Drew Gooden","PF",82,230,2,23,82,80,"2523",943,28,233,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Zydrunas Ilgauskas","C",87,238,6,29,78,78,"2615",979,7,313,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Robert Traylor","C",80,284,6,27,74,6,"1327",399,8,215,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Jerome Moiso","PF",82,235,4,26,4,0,"27",5,0,4,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Dajuan Wagner","SG",74,200,2,21,11,0,"102",55,26,15,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Luke Jackson","SF",79,215,0,23,10,0,"43",27,6,4,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Anderson Varejao","PF",82,230,0,22,54,0,"863",193,2,122,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"LeBron James","SF",80,240,1,20,80,80,"3388",1684,308,146,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"DeSagana Diop","C",84,300,3,23,39,0,"306",69,2,53,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"106.6","105.7"
"Viktor Khryapa","SF",81,210,0,22,32,5,"523",124,11,80,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Theo Ratliff","C",82,225,9,31,63,45,"1731",257,0,183,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Ha Seung-Jin","C",87,305,0,19,19,0,"104",23,0,21,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Geno Carlisle","SG",75,180,0,28,6,0,"16",3,0,1,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Travis Outlaw","SF",81,210,1,20,59,2,"793",267,10,77,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Darius Miles","SF",81,210,4,23,63,22,"1699",697,23,189,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Sebastian Telfair","PG",72,165,0,19,68,26,"1330",430,69,120,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Damon Stoudamire","PG",70,171,9,31,81,70,"2762",1165,490,158,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Richie Frahm","SG",77,210,1,27,43,0,"499",140,80,35,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Ruben Patterson","SF",77,224,6,29,70,36,"1957",601,25,164,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Nick Van Exel","SG",73,170,11,33,53,34,"1619",561,257,70,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
"Shareef Abdur-Rahim","PF",81,225,8,28,54,49,"1867",670,39,150,0,0,0,0,0,0,0,"0:00",0,0,0,0,0,0,0,"103.2","107.7"
